,date,country,channel,n_tickets
0,2020-03-24,-2,39,71.0
1,2020-03-25,-2,39,70.0
2,2020-03-26,-2,39,72.0
3,2020-03-27,-2,39,69.0
4,2020-03-28,-2,39,56.0
5,2020-03-29,-2,39,58.0
6,2020-03-30,-2,39,71.0
7,2020-03-31,-2,39,71.0
8,2020-04-01,-2,39,70.0
9,2020-04-02,-2,39,72.0
10,2020-03-24,-1,-1,27.0
11,2020-03-25,-1,-1,27.0
12,2020-03-26,-1,-1,32.0
13,2020-03-27,-1,-1,35.0
14,2020-03-28,-1,-1,27.0
15,2020-03-29,-1,-1,18.0
16,2020-03-30,-1,-1,29.0
17,2020-03-31,-1,-1,27.0
18,2020-04-01,-1,-1,28.0
19,2020-04-02,-1,-1,32.0
20,2020-03-24,-1,26,4.0
21,2020-03-25,-1,26,4.0
22,2020-03-26,-1,26,4.0
23,2020-03-27,-1,26,4.0
24,2020-03-28,-1,26,4.0
25,2020-03-29,-1,26,4.0
26,2020-03-30,-1,26,4.0
27,2020-03-31,-1,26,4.0
28,2020-04-01,-1,26,4.0
29,2020-04-02,-1,26,4.0
30,2020-03-24,-1,28,26.0
31,2020-03-25,-1,28,22.0
32,2020-03-26,-1,28,24.0
33,2020-03-27,-1,28,22.0
34,2020-03-28,-1,28,25.0
35,2020-03-29,-1,28,22.0
36,2020-03-30,-1,28,26.0
37,2020-03-31,-1,28,28.0
38,2020-04-01,-1,28,24.0
39,2020-04-02,-1,28,23.0
40,2020-03-24,-1,31,6.0
41,2020-03-25,-1,31,5.0
42,2020-03-26,-1,31,5.0
43,2020-03-27,-1,31,4.0
44,2020-03-28,-1,31,5.0
45,2020-03-29,-1,31,4.0
46,2020-03-30,-1,31,6.0
47,2020-03-31,-1,31,6.0
48,2020-04-01,-1,31,5.0
49,2020-04-02,-1,31,5.0
50,2020-03-24,-1,35,10.0
51,2020-03-25,-1,35,10.0
52,2020-03-26,-1,35,12.0
53,2020-03-27,-1,35,11.0
54,2020-03-28,-1,35,10.0
55,2020-03-29,-1,35,10.0
56,2020-03-30,-1,35,10.0
57,2020-03-31,-1,35,10.0
58,2020-04-01,-1,35,10.0
59,2020-04-02,-1,35,12.0
60,2020-03-24,-1,37,26.0
61,2020-03-25,-1,37,20.0
62,2020-03-26,-1,37,21.0
63,2020-03-27,-1,37,23.0
64,2020-03-28,-1,37,20.0
65,2020-03-29,-1,37,31.0
66,2020-03-30,-1,37,21.0
67,2020-03-31,-1,37,25.0
68,2020-04-01,-1,37,20.0
69,2020-04-02,-1,37,22.0
70,2020-03-24,-1,39,146.0
71,2020-03-25,-1,39,144.0
72,2020-03-26,-1,39,140.0
73,2020-03-27,-1,39,134.0
74,2020-03-28,-1,39,120.0
75,2020-03-29,-1,39,159.0
